Story ID,Duplicate Status,"Decision notes (if this is a duplicate, reference the story being kept)",Author,Category,Role/Users (As a....),Goal / Objective (I want...),Reason (So that...),Theme,"Technician MoSCoW Rating
",Field Manager  MoSCoW Rating,Priority by Author,Example,Additional Notes
F5,Keep,,Go Team,Front-end,As a field technician,I want to see updates to Billing Rules on the homepage,So that I can apply the correct billing policies,Homepage,Must Have,,High,,
F28,Keep,,Go Team,Front-end,A site user,To see topics on the homepage that are curated as featured or important,I can understand what subject are hot button issues and have quick access to relevant content,Homepage,Should Have,,Medium,Strategically important projects,
F30,Keep,,Go Team,Front-end,A site user,I want my recently viewed articles displayed on the homepage,so that I can easily return to documentation I was just working with.,Homepage,Could Have,,Medium,,
F32,Keep,,Go Team,Front-end,A site user,I want one-click access to my saved/bookmarked articles from the homepage,so that I can quickly reference my most important resources.,Homepage,Should Have,,Medium,,
F86,Keep,,Value Center Team,Front-end,Technician,A quick billing guide linked on the home page,To access the most commonly needed billing information immediately,Homepage,Should Have,,High,,
F87,Keep,,Value Center Team,Front-end,Technician,Repair billing guidelines linked on the home page,To quickly access specific repair billing information during service calls,Homepage,Should Have,,High,,
F68,Keep,,ValueGen team,Front-end,A site user,To have the ability to change languages between French and English views on content,Content is available in both English and French to comply with the Charter of the French Language,Lanuguage & User Preferences,Should Have,,High,"Each webpage is available in English and French and has a ""toggle"" to switch between languages in the menu or navigation bar (top of screen)",
F69,Keep,,ValueGen team,Front-end,A site user,To have the website display content automatically according to my language preferences,Content is displayed in my preferred language automatically,Lanuguage & User Preferences,Must Have,,High,Our technician team represents diverse cultural and linguistic backgrounds.,
F102,Keep,,InfoTech,Front-end,Field Technician,Be able to find the information the user is looking for according to their profile,An AB/BC Technician should not find information coming from Quebec because there is a risk that it will not be the same.,Lanuguage & User Preferences,Should Have,,Medium,,
F88,Eliminate,Duplicate of F5,Value Center Team,Front-end,Technician,A section on the home page featuring changes or new billing rules,To stay informed of the latest billing updates without missing critical changes,Homepage,Should Have,,High,,
F104,Eliminate,Duplicate of F30,InfoTech,Front-end,Field Technician,I want my recently viewed articles displayed on the homepage,so that I can easily return to documentation I was just working with.,Homepage,Could Have,,Low,,
F115,Eliminate,duplicate of F28,CS&A Custom Home,Front-end,General visitor to the website,To see topics on the homepage that are curated as featured or important,I can understand what subject are hot button issues and have quick access to relevant content,Homepage,Should Have,,High,Strategically important projects,
F160,Eliminate,duplicate of F28,Irene,Front-end,A site user,To see topics on the homepage that are curated as featured or important,I can understand what subject are hot button issues and have quick access to relevant content,Homepage,Could Have,,,Strategically important projects,
F4,Eliminate,Duplicate o F4,Go Team,Front-end,As a field technician,I want to see a section on the homepage featuring Hardware business Rule changes,so that I can use the correct hardware on my jobs,Homepage,Should Have,,High,BRs change due to stock or supply chain issues. New hardware releases ,high
F44,Eliminate,,Learning Team,Front-end,Field Technician,I want to easily change the language GUI settings on the website to French,"To be able to view the website GUI in French, as I speak French",Lanuguage & User Preferences,Should Have,,High,French language support,
F116,Keep,,CS&A Custom Home,Front-end,Site owner (CH Center),I want to maintain separate French and English versions of all technical documentation,so that French speaking technicians can access critical installation procedures in their preferred language.,Lanuguage & User Preferences,Must Have,,High,,
F35,Keep,,Learning Team,Front-end,Field Technician,I need to access on-the-job support learning content like job aids or videos using both my laptop and my mobile device,"I can access on-the-job learning resources in my TELUS vehicle to prepare for my next job, or access them inside/outside of the customer's premise on my mobile device while I'm working ",Mobile & Offline Access,Should Have,,High,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F50,Keep,,Learning Team,Front-end,Field Technician,I want to be able to access offline or download on-the-job support learning content ,To prepare for a remote job where I may lose internet connectivity and I need to access my on-the-job-support content to ensure I complete the job task correctly,Mobile & Offline Access,Should Have,,Low,Remote areas with no internet access,
F112,Eliminate,,InfoTech,Front-end,General visitor to the website,French language option,Techs can have the choose type of language and keep it as is when returning on websit,Lanuguage & User Preferences,Must Have,,High,,
F117,Keep,,CS&A Custom Home,Front-end,Site owner (CH Center),I want the site to be mobile friendly and accessible to all field force (including partners),"So that the site can resize itself based on the device its been worked on, for easy access and ease of use",Mobile & Offline Access,Should Have,,Medium,,
F162,Eliminate,,Irene,Front-end,A site user,To have the ability to change languages between French and English views on content,Content is available in both English and French to comply with the Charter of the French Language,Lanuguage & User Preferences,Must Have,,,"Each webpage is available in English and French and has a ""toggle"" to switch between languages in the menu or navigation bar (top of screen)",
F163,Eliminate,,Irene,Front-end,A site user,To have the website display content automatically according to my language preferences,Content is displayed in my preferred language automatically,Lanuguage & User Preferences,Must Have,,,,Can this be done based on browser settings?
F19,Eliminate,Keeping F50,Go Team,Front-end,Field Technician,To have the option to view content without internet access (i.e. offline),I can have access to important reference materials when I'm in low connectivity locations,Mobile & Offline Access,Should Have,,High,view offline option or download option for individual page content,https://support.google.com/chrome/answer/7343019?hl=en&co=GENIE.Platform%3DDesktop
F20,Eliminate,Keeping F50,Go Team,Front-end,As a field technician,I want to download technical diagrams and procedures for offline access,so that I can reference them in areas with poor connectivity.,Mobile & Offline Access,Should Have,,High,,Consider security risk and KM risk with enabling downloading of content by end-users
F26,Eliminate,Keeping F35 and F67. Reinforcing mobile and laptop to cater to both HT and partners,Go Team,Front-end,A site user,I want mobile-optimized views of technical diagrams and schematics,"so that I can clearly see details on my phone screen while working in tight spaces.
",Mobile & Offline Access,Should Have,,High,,
F157,Keep,,Learning Team,Front-end,Field Technician,"I want to access a personalized learning dashboard that displays relevant learning content, upcoming training, and personalized learning content recommendations
","I want the learning team to 'push' content to me that they think would help me in my role, as I don't always know what to search for, what's new or what learning content might help me in my role.",Personalization & Regional Support,Could Have,,Medium,Role based learning dashboard,
F17,Keep,,Go Team,Front-end,A site user,I want a personalized news feed on the homepage showing updates relevant to my specific role and region,so that I don't miss important information,Personalization & Regional Support,Could Have,,High,,
F78,Eliminate,Keeping F35 and F67. Reinforcing mobile and laptop to cater to both HT and partners,ValueGen team,Front-end,A site user ,want to access a mobile friendly version of the website ,"so i can review updates, offers, and other materials when i am on the go ",Mobile & Offline Access,Should Have,,High,,
F108,Eliminate,Keeping F50,InfoTech,Front-end,Field Technician,I want to download technical diagrams and procedures for offline access,so that I can reference them in areas with poor connectivity.,Mobile & Offline Access,Should Have,,Low,,
F113,Eliminate,Keeping F35 and F67. Reinforcing mobile and laptop to cater to both HT and partners,InfoTech,Front-end,Field Technician,To have a mobile friendly experience,I can view webpage content from my mobile device while on the road/on-site with a customer,Mobile & Offline Access,Should Have,,Medium,,
F52,Keep,,Learning Team,Front-end,Field Technician,"I want to save/favourite on-the-job support learning content within the website, so it appears under a 'my favourites' section rather than using an internet browser bookmark",I want to easily access content that I frequently use to need to complete complex job tasks or learn a new job task,Personalization & Regional Support,Must Have,,Low,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F73,Keep,,ValueGen team,Front-end,A site user ,Be able to see incentives that are only for the home team ,"so i can understand how my additional incentives and top ups work, must have a tech and LT view ",Personalization & Regional Support,Must Have,,High,Must not allow partners to see home team incentive rates /spiffs,
F31,Eliminate,,Go Team,Front-end,A site user,I want to bookmark frequently used articles and documents,so that I can quickly reference them during future installations.,Personalization & Regional Support,Should Have,,Medium,,
F95,Keep,,Value Center Team,Front-end,Technician,Billing rules specific to the technician's region,To ensure following correct regional guidelines and avoid billing errors due to geographic variations,Personalization & Regional Support,Must Have,,High,,
F60,Eliminate,,ValueGen team,Front-end,A site user,I am a CLEC tech in QC I need to see only offers and promotions /FR content for my region ,Enable technicians to access sales information and support materials in both French and English seamlessly,Personalization & Regional Support,Must Have,,High,,
F61,Eliminate,,ValueGen team,Front-end,A site user,I am an ILEC tech in QC I need to see only offers and promotions /FR content for my region ,Enable technicians to quickly access French-language sales materials and promotional offers for customer support,Personalization & Regional Support,Must Have,,High,,
F62,Eliminate,,ValueGen team,Front-end,A site user,I am an tech in the maritimes I need to see only offers and promotions  in EN for my region ,Enable technicians to access sales information and support materials ,Personalization & Regional Support,Should Have,,High,,
F63,Eliminate,,ValueGen team,Front-end,A site user,I am a tech in MB-SK I need to see only offers and promotions content for my region ,Enable technicians to access sales information and support materials ,Personalization & Regional Support,Should Have,,High,,
F64,Eliminate,,ValueGen team,Front-end,A site user,I am a tech in AB-BC I need to see only offers and promotions content for my region ,some offer are only for AB-BC,Personalization & Regional Support,Should Have,,High,,
F96,Keep,,Value Center Team,Front-end,Technician,Billing rules specific to the technician's skill designation,To access specialized billing information relevant to their role without wading through irrelevant content,Personalization & Regional Support,Should Have,,Medium,,
F97,Keep,,Value Center Team,Front-end,Technician,Access to customer's ContactEngine message history within TechHub while on repair tickets,To maintain context and provide better service without switching between multiple applications,Personalization & Regional Support,Could Have,,Low,,
F98,Keep,,InfoTech,Front-end,Site owner,I want to maintain separate French and English versions of all technical documentation,so that Quebec technicians can access critical installation procedures in their preferred language.,Personalization & Regional Support,Should Have,,High,,
F99,Keep,,InfoTech,Front-end,Site owner,I want to clearly identify Quebec-specific installation requirements and building codes within merged national procedures,so that my technicians can quickly find region-relevant information,Personalization & Regional Support,Must Have,,High,,
F101,Keep,,InfoTech,Front-end,Site owner,I want to create a clear visual distinction between national and Quebec-specific billing rules,so that technicians don't accidentally apply incorrect charges based on their location.,Personalization & Regional Support,Must Have,,Medium,,
F33,Keep,"Keep F33, eliminate duplicate F92",Go Team,Front-end,A site user,I want related articles and resources displayed alongside the current document,so that I can easily find connected information without starting a new search.,Search & Discovery,Should Have,,Low,,
F34,Keep,"Keep F34, eliminate duplicate F55",Learning Team,Front-end,Field Technician,I need to easily search for and access on-the-job support learning content like job aids or videos using simple key word searches,I can quickly access steps or full installation or troubleshooting procedures/processes while I'm busy working and trying to adhere to SWT ,Search & Discovery,Should Have,,High,Installation and troubleshooting of products and services,
F106,Eliminate,,InfoTech,Front-end,Field Technician,I want one-click access to my saved/bookmarked articles from the homepage,so that I can quickly reference my most important resources.,Personalization & Regional Support,Should Have,,Low,,
F111,Eliminate,,InfoTech,Front-end,Field Technician,Qc tech must find Qc content only,Some procedures are different in Qc vs ROC.,Personalization & Regional Support,Should Have,,High,,
F114,Eliminate,,InfoTech,Front-end,Field Technician,make sure the content you're looking for applies to Quebec,We don't want a TQ tech to see process/procedure that don't apply to their work,Personalization & Regional Support,Must Have,,High,,
F170,Eliminate,,Irene,Front-end,A site user,To be able to favourite pages ,So that i can reference them easily at a future date,Personalization & Regional Support,Should Have,,,,
F171,Eliminate,,Irene,Front-end,Technician Manager,To see content that is relevant for me,I can have quick access to manager specific content without having to visit another site,Personalization & Regional Support,Should Have,Should Have,,Manager specific section of website available for users included in Manager audience group,"Examples of groups:
All managers content
Internal Manager only content
Partner Manager only content"
F6,Eliminate,"Keep F82, eliminate duplicate F164, F70, F6",Go Team,Front-end,As a field technician,I want access to the search in one click or less on all pages,so that I can quickly find specific articles or documentation without navigating through multiple menus.,Search & Discovery,Must Have,,High,"E.g. Persistent search bar, or floating magnify glass search icon always visible, or embed search into simplified menu",
F37,Keep,"Focused on suggested content, not just search",Learning Team,Front-end,Field Technician,I want to be able to locate on-the-job support content based on the job type I have in Techhub or skill I need to complete a job,I want to prepare for the job before I arrive by refreshing myself on relevant job aids or videos for that job type or skill I need to perform well on the job,Search & Discovery,Could Have,,Low,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F38,Keep,Specific functionality request (to be able to find and break out a video inside broader content),Learning Team,Front-end,Field Technician,I want to be able to search for or access videos in a menu without trying to find them inside of a job aid,I want to be able to watch how to do something instead of reading instructions without having to scroll through a long job aid to find a video,Search & Discovery,Could Have,,Medium,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F45,Keep,Specific functionality request to return French content or enable a language filter,Learning Team,Front-end,Field Technician,I want to easily search for or filter for on-the-job support learning content in French,"To be able to view learning content in French, as I speak French",Search & Discovery,Must Have,,High,,
F46,Keep,Unique,Learning Team,Front-end,Field Technician,I want to quickly identify temporary equipment/hardware inventory shortages rules without scrolling through a job aid ,"To ensure I'm following the temporary stock shortage inventory rule and not confusing it with the BAU rule when stock levels return to normal. I also want to have one place to access this information, so I can avoid receiving numerous communications about stock shortages and temporary rules",Search & Discovery,Must Have,,High,Inventory stock shortages,
F49,Keep,Unique,Learning Team,Front-end,Field Technician,"I want to be able to filter, jump to or just view the business process or procedure for my region when their are regional differences for the same job task","I want to avoid reading irrelevant information, so I ensure I am following the correct business process or procedure for my regional area",Search & Discovery,Should Have,,Medium,Regional business processes or procedures due to nationalization,
F56,Keep,Unique,Comms Team,Front-end,Field technician,I want to be able to see the different content categories ,Ease of navigation,Search & Discovery,Should Have,,High,"ValueGen, SHS, FFH, TV, WiFi, Safety, Reliability",
F66,Keep,Unique,ValueGen team,Front-end,A site user,I want to display offers for specific products based on a technicians search ,So technicians can easily find key promotions for specific products ,Search & Discovery,,,High,,
F55,Eliminate,"Keep F34, eliminate duplicate F55",Comms Team,Front-end,Field technician,I want to be able to easily search for the information that I need to do my job,"I want to save time in finding relevant information, especially when I'm in front of a customer",Search & Discovery,Must Have,,High,"HBR, jobaids, firmware updates, new products/processes",
F71,Keep,"Expanded to include content requested in eliminated stories (F165, F166 and F167)",ValueGen team,Front-end,A site user,"To have a keyword search feature that includes content from OneSource, t.com and go/TOPPS",Site authors do not have to duplicate content that exists on other sites,Search & Discovery,Should Have,,Medium,,
F74,Keep,Unique,ValueGen team,Front-end,A site user ,I want a copy/paste function for promos and offercodes from the CSD Offer sheet ,I want to be able to copy a discount code from the offer sheet and be able to paste it into the sales ordering tool (CSR-PP),Search & Discovery,Should Have,,Medium,,
F70,Eliminate,"Keep F82, eliminate duplicate F164, F70, F6",ValueGen team,Front-end,A site user,To have a keyword search feature that includes all content on the site,Users can have quick access to find the content they want to see,Search & Discovery,Should Have,,Medium,Use search to quickly find content on XYZ and have search result page,
F76,Keep,Unique,ValueGen team,Front-end,A site user ,Want to be able to track sales investigations ,so i can ensure my investigations are being processed ,Search & Discovery,Won't Have (this time),,Low,Investigations are done manually today,
F72,Eliminate,"Keep F124, eliminate F68 and F72",ValueGen team,Front-end,A site user,To have an chatbot avaialble for any topics on the site,Users can get quick answers to questions about the site content without having to complete a keyword search and read through an entire article,Search & Discovery,Could Have,,Medium,,
F82,Keep,"Keep F82, eliminate duplicate F164, F70, F6",Value Center Team,Front-end,Technician,"A prominent, easily accessible search bar at the top of each page that supports search in both English and French",To quickly find information without navigating through multiple pages,Search & Discovery,Must Have,,High,,
F100,Keep,"Keep F100, remove duplicates F10 and F118",InfoTech,Front-end,Site owner,I want to implement a search function that recognizes both French and English terms,so that technicians can easily find procedures while working in the field.,Search & Discovery,Won't Have (this time),,Medium,,
F119,Keep,"Keep F119, eliminate duplicate F120",CS&A Custom Home,Front-end,Site owner (CH Center),I want to implement a search function that limits the results to a specific section of the site or a product,so that technicians can find CS&A specific information only (and not what's widely available under all the main site),Search & Discovery,Could Have,,High,,
F92,Eliminate,"Keep F33, eliminate duplicate F92",Value Center Team,Front-end,Technician,Suggested relevant articles and content next to the current page,To discover related information that might help complete work more effectively,Search & Discovery,Should Have,,Medium,,
F124,Keep,"Keep F124, eliminate F68 and F72",CS&A Custom Home,Front-end,CS&A Technician,"I want a Chat tool with Ai capabilities on each page that can find information i'm looking for or even summarize longer document, etc...",So that we save time when we look for an information throughout the whole site,Search & Discovery,Could Have,,High,,
F103,Eliminate,"Keep F100, remove duplicates F10 and F118",InfoTech,Front-end,Field Technician,I want to see a prominent FR search bar on the homepage,so that I can quickly find specific FR articles or documentation without navigating through multiple menus.,Search & Discovery,Must Have,,Medium,,
F118,Eliminate,"Keep F100, remove duplicates F10 and F118",CS&A Custom Home,Front-end,Site owner (CH Center),I want to implement a search function that recognizes both French and English terms,so that technicians can easily find procedures while working in the field in their preferred language,Search & Discovery,Must Have,,High,,
F135,Keep,"Keep F135 (enhanced), eliminate duplicate F139",Learning Team,Front-end,Technician Manager,"I want to easily locate self-directed learning resources (e.g. eLearning, videos, etc.) on a specific coaching topic/skill that I can provide my technician during a coaching session, as well as for my own self-development and learning",I need to coach a technician who is underperforming and I need to help them upskill or refresh their skills by accessing self-directed learning content on a specific skill related to scorecard metrics or other performance behaviours ,Search & Discovery,Could Have,Should Have,High,Technician coaching and performance management,
F120,Eliminate,"Keep F119, eliminate duplicate F120",CS&A Custom Home,Front-end,Site owner (CH Center),I want to implement a search function that limits the results to a specific section of the site or a product,so that technicians can find SHS specific information only (and not what's widely available under all the main site),Search & Discovery,Could Have,,High,,
F137,Keep,Unique,Learning Team,Front-end,Field Technician,I am a new hire and I want to view/access all of the training courses in my new hire learning path (curriculum),I want to study or refresh myself on content learned in my new hire courses or I want to look ahead to see what I will be learning as a new hire,Search & Discovery,Should Have,,High,New hire initiated viewing of learning paths and training content,
F138,Keep,Unique,Learning Team,Front-end,Field Technician,"I am an existing technician and I want to locate self-directed learning/training content (e.g. eLearning, videos, simulations) based on the length of time it will take me to complete the content.","I want to be able to identify self-directed learning content based on the amount of time I have to learn during my whitespace (e.g < 5 mins, 10-15 mins, 30 mins, 60 mins, etc)",Search & Discovery,Should Have,,High,Learning content categorization options,
F140,Keep,Unique,Learning Team,Front-end,Technician Manager,"I want to view a curated list of Manager self-directed learning resources or learning paths for Managers (e.g. leadership, coaching, presentations, communications, etc.)",I want to access self-directed internal/external learning content that is relevant for Managers to increase my own self-development and learning,Search & Discovery,Could Have,Could Have,Low,Manager learning path or learning resource lists,
F141,Keep,,Learning Team,Front-end,Technician Manager,I want to view/access all of the training courses in my technician's new hire learning path (curriculum) or existing technician training/learning path for a new skill or upskilling,"So I am aware of what my technician will be learning, so I can provide support or coaching when needed",Search & Discovery,Could Have,Should Have,High,Manager learning path (curriculum) access,
F139,Eliminate,"Keep F135 (enhanced), eliminate duplicate F139",Learning Team,Front-end,Technician Manager,I want to access self-directed TELUS learning content for my own self-development and learning,"I want to upskill or refresh my own skills on topics like leadership, coaching, or learn technician skills so I can coach technicians on their skills with more confidence",Search & Discovery,Could Have,Could Have,Low,Manager self-directed learning resources,
F24,Keep,Ease of access,Go Team,Front-end,A site user,I want a streamlined VPN authentication process on my mobile device,so that I can quickly access the site without repeatedly entering credentials throughout the day.,Security & Authentication,Must Have,,High,,
F25,Keep,,Go Team,Front-end,A site user,I want my authentication status to persist across all related internal sites,so that I don't need to re-authenticate when following links to other company resources.,Security & Authentication,Must Have,,Medium,,
F164,Eliminate,"Keep F82, eliminate duplicate F164, F70, F6",Irene,Front-end,A site user,To have a keyword search feature that includes all content on the site,Users can have quick access to find the content they want to see,Search & Discovery,Should Have,,,Use search to quickly find content on XYZ and have search result page,
F165,Eliminate,"Expanded to include content requested in eliminated stories (F165, F166 and F167)",Irene,Front-end,A site user,To have a keyword search feature that includes content from OneSource,Site authors do not have to duplicate content that exists on other sites,Search & Discovery,Could Have,,,,
F166,Eliminate,"Expanded to include content requested in eliminated stories (F165, F166 and F167)",Irene,Front-end,A site user,To have a keyword search feature that includes content from TELUS.com,Site authors do not have to duplicate content that exists on other sites,Search & Discovery,Could Have,,,Keyword search will find documentation hosted on telus.com/support (e.g.SmartHome+ installation product installation instructions). Sample URL: https://www.telus.com/en/support/article/install-homeview-doorbell-camera?INTCMP=Tcom-support_results-hub_self-install_install-homeview-doorbell-camera,
F167,Eliminate,"Expanded to include content requested in eliminated stories (F165, F166 and F167)",Irene,Front-end,A site user,To have a keyword search feature that includes content from go/TOPPS (TELUS Outside Plant Processes and Standards) ,Site authors do not have to duplicate content that exists on other sites,Search & Discovery,Should Have,,,Keyword search result will link to reference documents on TELUS Outside Plant Processes and Standards website (https://sites.google.com/telus.com/access/home),
F168,Eliminate,"Keep F124, eliminate F68 and F72",Irene,Front-end,A site user,To have an chatbot feature embedded on all pages ,Users can get quick answers to questions about the site content without having to complete a keyword search and read through an entire article,Search & Discovery,Could Have,,,,
